gene	p_snp_total	p_snp_synonymous	p_snp_missense	p_snp_lof	p_snp_cadd_l5	p_snp_cadd_g20	p_snp_cadd_g30
A1BG	2.60439412733177e-05	8.40843449740024e-06	1.67065939570488e-05	6.11626950793249e-07	2.11401009116202e-05	1.48756681798022e-05	7.25961607826968e-06
A1CF	2.52047237026211e-05	6.58772179269368e-06	1.66065423907442e-05	1.48771070044921e-06	2.29971294243072e-05	1.61350893180887e-05	6.61104740487525e-06
A2M	6.07343437918651e-05	1.66744482305764e-05	4.067307798958e-05	2.29364888808605e-06	5.14979609803168e-05	3.4729816381621e-05	1.50401770680839e-05
A2ML1	5.99932389541822e-05	1.70477770217177e-05	4.0051668125331e-05	2.02820494471141e-06	5.18610946296958e-05	3.33882096333535e-05	1.30164340919483e-05
A3GALT2	2.8722726637976e-05	9.85492148444535e-06	1.81265624480778e-05	4.95313272451581e-07	2.43843401649271e-05	1.60340091182012e-05	6.20425512484659e-06
A4GALT	2.52651096448469e-05	8.50785936995075e-06	1.63155195532343e-05	3.94753221958743e-07	2.11808238820616e-05	1.48322936588564e-05	6.10393408480729e-06
A4GNT	1.39471413342237e-05	3.89423959551294e-06	9.51276207003582e-06	4.85080980511146e-07	1.16512271696067e-05	8.55193586015222e-06	3.62214292278813e-06
AAAS	2.46227503929475e-05	5.43868551908477e-06	1.74676936372541e-05	1.37672211061238e-06	2.2751365986438e-05	1.65767149239902e-05	6.12692312970647e-06
AACS	3.38627673923721e-05	6.74059914949631e-06	2.48721732336366e-05	1.19862336520628e-06	3.09134230204972e-05	2.05244279273599e-05	7.92752874681852e-06
AADAC	1.53183603866061e-05	4.24931655121272e-06	1.03620769013157e-05	5.45779818475891e-07	1.32725646718563e-05	7.44959018536107e-06	2.96554989685184e-06
AADACL2	1.528556522541e-05	3.69366156356431e-06	1.04112553457562e-05	9.62159001470667e-07	1.32476017777816e-05	8.6570114498235e-06	3.31205695317463e-06
AADACL3	1.53392053449439e-05	4.48523888972993e-06	1.03748434321779e-05	3.78279171229854e-07	1.32599877620491e-05	8.19177307223411e-06	2.63975297498407e-06
AADACL4	1.88069507217426e-05	5.30194983945298e-06	1.29302745939489e-05	4.72998270662715e-07	1.59558773143105e-05	9.98442566108009e-06	3.79121348837827e-06
AADAT	1.5761274528401e-05	4.00149640881362e-06	1.09910645345462e-05	4.55040512562198e-07	1.32556540282909e-05	9.7733112937614e-06	4.36521050930285e-06
AAED1	4.88712951122714e-06	1.24024713339606e-06	3.43671733448413e-06	1.5555693685929e-07	4.33224978892159e-06	3.36971539007628e-06	1.30412815196509e-06
AAGAB	1.17755609207935e-05	3.19496812494956e-06	7.82959730741177e-06	5.18497551284388e-07	1.03126952260279e-05	7.77320265329772e-06	3.48378984190246e-06
AAK1	3.74474214909985e-05	1.05910302150911e-05	2.50325918550862e-05	1.33827524411e-06	3.34611680625592e-05	2.61622381376935e-05	6.82940596366519e-06
AAMDC	5.57941505594889e-06	1.05883151082325e-06	4.0276791194801e-06	3.8824468545633e-07	5.13392373125242e-06	3.47468177282998e-06	1.49308467758931e-06
AAMP	2.12526865878465e-05	6.52006454196921e-06	1.36695384246013e-05	5.94745348973923e-07	1.92074866797023e-05	1.33922727395094e-05	5.85181766205889e-06
AANAT	8.5138727800849e-06	2.07004313295807e-06	6.05958975798033e-06	2.58843418153273e-07	7.20568969877697e-06	4.96101403443975e-06	2.44141746600511e-06
AAR2	1.78204485756533e-05	5.04204966369116e-06	1.22625445496188e-05	4.4353164246319e-07	1.5880500070295e-05	1.11097204004245e-05	4.43284008484672e-06
AARD	8.75420036333995e-06	2.84745011038627e-06	5.60348045778939e-06	2.6839366283963e-07	7.97072067844233e-06	3.5301665155222e-06	1.18588778270969e-06
AARS	4.60162102814733e-05	1.27180843958031e-05	3.06719176280249e-05	1.96856898189781e-06	4.22484298100167e-05	3.3279209783549e-05	1.60191970851493e-05
AARS2	5.20739379474722e-05	1.33945075257719e-05	3.60066557963717e-05	2.03522592404544e-06	4.70150411922277e-05	3.59934223262282e-05	1.67056100172363e-05
AARSD1	1.81400157148681e-05	4.72049348567782e-06	1.25812289357693e-05	4.4351599822747e-07	1.67220962142606e-05	1.18096269788611e-05	5.186669699713e-06
AASDH	3.86420432973817e-05	9.37791185183123e-06	2.69544762635491e-05	1.77348580908865e-06	3.35010955605886e-05	2.28559274533375e-05	1.09477783816931e-05
AASDHPPT	1.37393802655533e-05	3.36939855547325e-06	9.51635396923805e-06	6.73198819296513e-07	1.26561594456683e-05	9.20494132993821e-06	3.06544877580556e-06
AASS	3.57521994714888e-05	9.20298755008156e-06	2.50284256848622e-05	9.65484651226477e-07	3.25786188936611e-05	2.41313759096996e-05	1.23043330863398e-05
AATF	2.17911272560021e-05	5.95432558619232e-06	1.44159374948652e-05	9.98183706963674e-07	1.918975342633e-05	1.35642242144797e-05	6.008974335977e-06
AATK	8.92165062405086e-06	3.07745715175147e-06	5.47329335658686e-06	1.15297307414902e-07	8.3088487247099e-06	5.52323830896797e-06	2.07720558475831e-06
ABAT	2.62256210597162e-05	6.96050163335061e-06	1.77529982944226e-05	9.94875374195831e-07	2.47466343984487e-05	1.62438118067269e-05	7.61277201764424e-06
ABCA1	9.77558943567522e-05	2.70622405088593e-05	6.6101601773275e-05	3.59496027219234e-06	8.68147390013954e-05	6.60175724716293e-05	3.05662107392035e-05
ABCA10	5.32857812777494e-05	1.29666884121884e-05	3.69345759754091e-05	2.44649286027637e-06	4.67298495332197e-05	2.67527379857603e-05	1.00431204338581e-05
ABCA12	9.94643069509072e-05	2.7124926798412e-05	6.67592941372788e-05	4.21897334987701e-06	8.68387018724466e-05	6.398860634151e-05	2.79482853320079e-05
